numer_sta date pmer tend cod_tend dd ff t td u vv ww w1 w2 n nbas hbas cl cm ch pres niv_bar geop tend24 tn12 tn24 tx12 tx24 tminsol sw tw raf10 rafper per etat_sol ht_neige ssfrai perssfrai rr1 rr3 rr6 rr12 rr24 phenspe1 phenspe2 phenspe3 phenspe4 nnuage1 ctype1 hnuage1 nnuage2 ctype2 hnuage2 nnuage3 ctype3 hnuage3 nnuage4 ctype4 hnuage4
07005 20151025120000 102630 -30 8 60 1.100000 286.550000 278.450000 58 30000 2 2 2 75 1 800 31 20 12 101760 0 0 1120 0 0 0 0 278.450000 0 0 2.600000 2.900000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 1 8 700 6 0 7000 0 0 0 0 0 0
07015 20151025120000 102590 -10 0 330 2.400000 287.350000 278.650000 56 17790 0 0 0 0 2 800 0 0 0 102020 0 0 1070 0 0 0 0 279.550000 0 0 3.600000 3.900000 -10 1 0.000000 0 0 0.000000 0.000000 0.000000 -0.100000 0 0 0 0 0 2 0 990 0 0 0 0 0 0 0 0 0
07020 20151025120000 102650 -110 8 80 2.900000 286.550000 278.950000 60 18000 1 0 0 40 2 800 32 20 11 102380 0 0 1270 0 0 0 0 0 0 0 4.300000 4.800000 -10 0 0 0 0 0 0 0 0 0.000000 0 0 0 0 2 8 800 3 0 6000 0 0 0 0 0 0
07027 20151025120000 102620 -100 8 120 2.000000 285.850000 279.450000 65 40000 2 0 0 50 4 800 31 20 12 101810 0 0 1170 0 0 0 0 277.150000 0 0 3.300000 6.100000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 -0.100000 0 0 0 0 4 8 850 1 0 7500 0 0 0 0 0 0
07037 20151025120000 102600 -70 8 80 2.800000 285.950000 278.850000 62 20000 1 0 0 25 2 800 31 20 11 100760 0 0 1070 0 0 0 0 280.350000 0 0 4.200000 5.000000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.200000 0.400000 0.400000 0 0 0 0 2 8 810 1 0 7500 0 0 0 0 0 0
07072 20151025120000 102550 10 0 310 2.500000 284.850000 283.750000 93 10160 0 0 0 100 8 150 0 0 0 101400 0 0 930 0 0 0 0 283.450000 0 0 3.300000 3.600000 -10 1 0.000000 0 0 0.000000 -0.100000 -0.100000 -0.100000 -0.100000 0 0 0 0 8 0 180 0 0 0 0 0 0 0 0 0
07110 20151025120000 102440 -200 8 160 5.200000 287.250000 278.350000 55 25000 3 0 0 40 2 1250 31 20 11 101290 0 0 930 0 0 0 0 276.450000 0 0 7.900000 8.000000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 2 8 1050 2 0 7500 0 0 0 0 0 0
07117 20151025120000 102490 -170 8 110 2.600000 286.550000 279.450000 62 20000 2 2 0 90 6 1250 32 0 0 101790 0 0 1100 0 0 0 0 0 0 0 4.300000 5.900000 -10 0 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 5 8 1000 0 0 0 0 0 0 0 0 0
07130 20151025120000 102530 -200 8 90 5.100000 287.150000 277.750000 53 60000 0 0 0 0 1 1250 0 0 0 102080 0 0 980 0 0 0 0 277.650000 0 0 7.500000 7.500000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0 0 0 0 0 0 1 0 1080 0 0 0 0 0 0 0 0 0
07139 20151025120000 102560 -150 8 90 2.400000 286.250000 278.650000 60 18370 0 0 0 0 0 0 0 0 0 100810 0 0 970 0 0 0 0 274.650000 0 0 5.300000 6.300000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.200000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
07149 20151025120000 102600 -40 8 60 2.700000 285.750000 281.450000 75 41390 0 2 2 90 7 450 0 0 0 101510 0 0 1010 0 0 0 0 0 0 0 3.500000 4.600000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 2 0 570 3 0 930 7 0 1170 0 0 0
07168 20151025120000 102510 -40 8 290 1.600000 287.750000 284.150000 79 20000 0 2 2 0 2 450 0 0 0 101090 0 0 850 0 0 0 0 284.750000 0 0 2.800000 3.600000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 2 0 450 0 0 0 0 0 0 0 0 0
07181 20151025120000 102480 0 0 270 1.700000 287.350000 283.950000 80 25420 0 0 0 100 8 800 0 0 0 98420 0 0 760 0 0 0 0 283.750000 0 0 2.700000 3.800000 -10 0 0 0 0 0.000000 0.000000 0.000000 0.000000 -0.100000 0 0 0 0 1 0 630 7 0 1080 8 0 1470 0 0 0
07190 20151025120000 102450 -30 8 240 1.300000 290.350000 282.550000 60 48920 0 0 0 100 7 1250 0 0 0 100660 0 0 680 0 0 0 0 281.250000 0 0 2.400000 3.200000 -10 0 0 0 0 0.000000 0.000000 -0.100000 0.200000 0.200000 0 0 0 0 7 0 1140 8 0 2160 0 0 0 0 0 0
07207 20151025120000 102470 -240 8 90 5.100000 287.350000 278.650000 56 18000 1 0 0 10 1 800 31 20 10 101950 0 0 860 0 0 0 0 0 0 0 9.600000 9.600000 -10 0 0 0 0 0 0 0 0 0.000000 0 0 0 0 1 8 800 1 7 2000 0 0 0 0 0 0
07222 20151025120000 102430 -190 8 80 4.300000 287.850000 280.650000 62 30000 2 0 0 10 1 800 31 20 10 102120 0 0 810 0 0 0 0 278.050000 0 0 6.200000 7.400000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 1 8 800 0 0 0 0 0 0 0 0 0
07240 20151025120000 102510 -110 8 50 2.200000 287.750000 281.250000 65 60000 0 0 0 0 5 800 0 0 0 101160 0 0 880 0 0 0 0 282.350000 0 0 4.400000 5.500000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 5 0 780 0 0 0 0 0 0 0 0 0
07255 20151025120000 102520 -40 8 70 2.200000 286.350000 283.150000 81 20000 0 0 0 100 8 800 0 0 0 100520 0 0 800 0 0 0 0 281.150000 0 0 3.400000 4.800000 -10 0 0 0 0 0.000000 0.000000 0.200000 0.200000 0.200000 0 0 0 0 3 0 720 8 0 990 0 0 0 0 0 0
07280 20151025120000 102400 -100 8 90 2.500000 290.050000 284.750000 71 19700 0 0 0 0 0 0 0 0 0 99720 0 0 560 0 0 0 0 283.350000 0 0 4.300000 4.300000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
07299 20151025120000 102380 -100 8 80 1.500000 290.950000 283.550000 62 30000 1 2 2 90 4 800 31 20 11 99180 0 0 570 0 0 0 0 282.550000 0 0 3.800000 3.800000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.200000 0.200000 0 0 0 0 4 8 900 5 0 8000 0 0 0 0 0 0
07314 20151025120000 102450 -110 6 110 2.900000 288.450000 284.650000 78 13000 3 2 0 90 7 1250 35 0 0 102170 0 0 640 0 0 0 0 0 0 0 5.800000 6.600000 -10 0 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 7 6 1000 0 0 0 0 0 0 0 0 0
