ID Nom Latitude Longitude Altitude
07005 ABBEVILLE 50.136000 1.834000 69
07015 LILLELESQUIN 50.570000 3.097500 47
07020 PTEDELAHAGUE 49.725167 -1.939833 6
07027 CAENCARPIQUET 49.180000 -0.456167 67
07037 ROUENBOOS 49.383000 1.181667 151
07072 REIMSPRUNAY 49.209667 4.155333 95
07110 BRESTGUIPAVAS 48.444167 -4.412000 94
07117 PLOUMANACH 48.825833 -3.473167 55
07130 RENNESSTJACQUES 48.068833 -1.734000 36
07139 ALENCON 48.445500 0.110167 143
07149 ORLY 48.716833 2.384333 89
07168 TROYESBARBEREY 48.324667 4.020000 112
07181 NANCYOCHEY 48.581000 5.959833 336
07190 STRASBOURGENTZHEIM 48.549500 7.640333 150
07207 BELLEILELETALUT 47.294333 -3.218333 34
07222 NANTESBOUGUENAIS 47.150000 -1.608833 26
07240 TOURS 47.444500 0.727333 108
07255 BOURGES 47.059167 2.359833 161
07280 DIJONLONGVIC 47.267833 5.088333 219
07299 BALEMULHOUSE 47.614333 7.510000 263
07314 PTEDECHASSIRON 46.046833 -1.411500 11
07335 POITIERSBIARD 46.593833 0.314333 123
07434 LIMOGESBELLEGARDE 45.861167 1.175000 402
07460 CLERMONTFD 45.786833 3.149333 331
07471 LEPUYLOUDES 45.074500 3.764000 833
07481 LYONSTEXUPERY 45.726500 5.077833 235
07510 BORDEAUXMERIGNAC 44.830667 -0.691333 47
07535 GOURDON 44.745000 1.396667 260
07558 MILLAU 44.118500 3.019500 712
07577 MONTELIMAR 44.581167 4.733000 73
07591 EMBRUN 44.565667 6.502333 871
07607 MONTDEMARSAN 43.909833 -0.500167 59
07621 TARBESOSSUN 43.188000 0.000000 360
07627 STGIRONS 43.005333 1.106833 414
07630 TOULOUSEBLAGNAC 43.621000 1.378833 151
07643 MONTPELLIER 43.577000 3.963167 2
07650 MARIGNANE 43.437667 5.216000 9
07661 CAPCEPET 43.079333 5.940833 115
07690 NICE 43.648833 7.209000 2
07747 PERPIGNAN 42.737167 2.872833 42
07761 AJACCIO 41.918000 8.792667 5
07790 BASTIA 42.540667 9.485167 10
61968 GLORIEUSES -11.582667 47.289667 3
61970 JUANDENOVA -17.054667 42.712000 9
61972 EUROPA -22.344167 40.340667 6
61976 TROMELIN -15.887667 54.520667 7
61980 GILLOTAEROPORT -20.892500 55.528667 8
61996 NOUVELLEAMSTERDAM -37.795167 77.569167 27
61997 CROZET -46.432500 51.856667 146
61998 KERGUELEN -49.352333 70.243333 29
67005 PAMANDZI -12.805500 45.282833 7
71805 STPIERRE 46.766333 -56.179167 21
78890 LADESIRADEMETEO 16.335000 -61.004000 27
78894 STBARTHELEMYMETEO 17.901500 -62.852167 44
78897 LERAIZETAERO 16.264000 -61.516333 11
78922 TRINITECARAVEL 14.774500 -60.875333 26
78925 LAMENTINAERO 14.595333 -60.995667 3
81401 SAINTLAURENT 5.485500 -54.031667 5
81405 CAYENNEMATOURY 4.822333 -52.365333 4
81408 SAINTGEORGES 3.890667 -51.804667 6
81415 MARIPASOULA 3.640167 -54.028333 106
89642 DUMONTDURVILLE -66.663167 140.001000 43
